id_cliente,nome_cliente,cpf,data_nascimento
1,Cliente 1,486.992.287-,1990-05-14
2,Cliente 2,278.084.283-,1989-07-20
3,Cliente 3,295.961.646-,1984-02-14
4,Cliente 4,508.080.838-,1985-02-26
5,Cliente 5,389.260.606-,1992-08-23
6,Cliente 6,589.983.611-,1984-04-12
7,Cliente 7,083.819.787-,1984-04-26
8,Cliente 8,095.436.197-,1984-08-23
9,Cliente 9,595.598.837-,1981-09-27
10,Cliente 10,990.238.252-,1981-02-08
11,Cliente 11,135.511.825-,1984-03-02
12,Cliente 12,988.933.231-,1995-12-19
13,Cliente 13,280.529.544-,1986-06-16
14,Cliente 14,024.224.482-,1983-05-14
15,Cliente 15,242.731.518-,1984-09-08
16,Cliente 16,819.413.327-,1993-05-19
17,Cliente 17,354.206.281-,1980-04-19
18,Cliente 18,376.062.733-,1986-02-02
19,Cliente 19,177.627.441-,1981-07-09
20,Cliente 20,209.740.023-,1985-03-09
21,Cliente 21,626.321.862-,1996-07-27
22,Cliente 22,094.003.380-,1981-08-18
23,Cliente 23,738.388.605-,1994-03-10
24,Cliente 24,321.072.922-,1998-02-04
25,Cliente 25,075.664.713-,1996-11-20
26,Cliente 26,700.384.856-,1995-12-26
27,Cliente 27,532.580.487-,1986-11-22
28,Cliente 28,026.287.222-,1990-08-03
29,Cliente 29,813.333.005-,1981-09-17
30,Cliente 30,851.202.269-,1984-03-26
31,Cliente 31,660.643.860-,1984-11-13
32,Cliente 32,415.815.890-,1991-02-09
33,Cliente 33,835.110.811-,1981-02-14
34,Cliente 34,533.698.507-,1982-11-20
35,Cliente 35,653.344.806-,1997-02-03
36,Cliente 36,134.930.152-,1993-01-21
37,Cliente 37,158.792.664-,1985-01-10
38,Cliente 38,029.271.052-,1996-09-03
39,Cliente 39,422.427.500-,1992-07-15
40,Cliente 40,978.162.043-,1991-10-08
41,Cliente 41,700.043.033-,1987-10-17
42,Cliente 42,308.132.944-,1990-03-14
43,Cliente 43,005.765.211-,1989-12-26
44,Cliente 44,504.768.011-,1995-10-20
45,Cliente 45,073.177.996-,1981-04-20
46,Cliente 46,162.168.314-,1985-08-03
47,Cliente 47,378.282.389-,1997-02-20
48,Cliente 48,922.457.791-,1980-02-19
49,Cliente 49,534.289.313-,1990-06-25
50,Cliente 50,977.860.492-,1986-11-14
51,Cliente 51,169.428.627-,1994-08-22
52,Cliente 52,325.960.295-,1981-01-19
53,Cliente 53,124.421.150-,1987-01-19
54,Cliente 54,498.606.948-,1995-05-07
55,Cliente 55,455.155.329-,1992-11-22
56,Cliente 56,679.147.141-,1984-03-05
57,Cliente 57,286.614.990-,1980-06-21
58,Cliente 58,146.750.470-,1994-10-18
59,Cliente 59,561.895.279-,1992-05-23
60,Cliente 60,779.477.223-,1983-12-21
61,Cliente 61,385.399.762-,1996-02-13
62,Cliente 62,609.396.981-,1993-09-02
63,Cliente 63,919.506.522-,1986-08-02
64,Cliente 64,188.781.208-,1993-03-22
65,Cliente 65,562.457.425-,1989-02-01
66,Cliente 66,847.997.410-,1996-11-13
67,Cliente 67,898.396.557-,1984-06-04
68,Cliente 68,373.910.412-,1981-04-01
69,Cliente 69,741.397.104-,1987-07-18
70,Cliente 70,284.623.010-,1992-03-03
71,Cliente 71,461.749.668-,1990-12-13
72,Cliente 72,805.436.409-,1991-04-05
73,Cliente 73,497.676.052-,1988-08-03
74,Cliente 74,536.254.177-,1988-01-15
75,Cliente 75,905.194.265-,1986-10-09
76,Cliente 76,968.719.597-,1980-02-07
77,Cliente 77,204.201.547-,1992-11-18
78,Cliente 78,305.141.759-,1990-11-20
79,Cliente 79,438.707.109-,1982-05-14
80,Cliente 80,969.668.480-,1992-01-20
81,Cliente 81,790.347.548-,1993-08-22
82,Cliente 82,972.764.634-,1997-11-15
83,Cliente 83,325.269.321-,1981-04-26
84,Cliente 84,711.910.776-,1987-03-05
85,Cliente 85,832.623.555-,1991-04-10
86,Cliente 86,511.730.720-,1994-01-03
87,Cliente 87,228.856.262-,1985-04-23
88,Cliente 88,954.417.639-,1985-07-05
89,Cliente 89,834.935.644-,1994-02-24
90,Cliente 90,953.136.431-,1997-08-03
91,Cliente 91,192.199.911-,1981-11-20
92,Cliente 92,847.549.356-,1993-03-05
93,Cliente 93,314.536.359-,1996-10-28
94,Cliente 94,740.156.561-,1996-08-05
95,Cliente 95,412.954.087-,1983-09-11
96,Cliente 96,854.094.649-,1986-05-11
97,Cliente 97,675.839.507-,1995-06-24
98,Cliente 98,618.897.731-,1980-09-07
99,Cliente 99,447.727.832-,1998-11-10
100,Cliente 100,194.229.887-,1993-11-16
